new2kid,option_choice,option_hectares,farm_payment,farm_costs,farm_net,benefits_total,benefits_ghg_farm,benefits_ghg_dispfood,benefits_ghg_forestry,benefits_ghg_soil_forestry,benefits_rec,benefits_flooding,benefits_totn,benefits_totp,benefits_water_non_use,benefits_water_rec,benefits_pollination_yield,benefits_pollination_non_use,costs_total,costs_farm,costs_forestry,costs_timber,costs_grass,costs_hay,costs_rec,env_out_ghg,env_out_sng_rec,env_out_wood_rec,env_out_sng_norec,env_out_wood_norec,env_out_flood,env_out_tot_n,env_out_tot_p,env_out_pollinators,es_out_ghg,es_out_rec,es_out_flood,es_out_tot_n,es_out_tot_p,es_out_water_non_use,es_out_water_rec,es_out_poll_yield,es_out_poll_non_use,bcr
79980,4,125.829559574527,2803370.36382227,2739026.16102172,64344.2028005556,5177004.70893492,2399550.03412746,-1382547.28172667,1501936.34128632,102111.442577753,2441809.38530223,0,0,0,0,0,4085.37136481562,110059.416003013,2381761.87914932,1761762.68086325,853727.600422239,-264926.730901038,0,0,31198.3287648666,430.807395887983,0,125.829559574527,0,0,-0.0291748681464104,-0.168951323171845,-0.0515204083567364,7.493274881398,2621050.53626487,2441809.38530223,0,0,0,0,0,4085.37136481562,110059.416003013,1.84670736901003
91700,4,94.8324469456024,2112782.3398173,1921602.72418901,191179.615628293,3062245.04237231,1644026.71993379,-1004467.49266266,1324957.74608021,79277.0393617039,927233.315141501,6035.89900435798,147.557307779937,44.1426708380577,-4.21138050775702e-10,0,10991.1618827565,73998.9536520332,1670958.89059914,1223714.94179976,652775.26087069,-232682.125466637,0,0,27150.8133953257,307.528799554128,0,94.8324469456024,0,0,-0.0146811349862555,-0.0158746467145455,-0.00472715171275757,6.72684258008701,2043794.01271305,927233.315141501,6035.89900435798,147.557307779937,44.1426708380577,-4.21138050775702e-10,0,10991.1618827565,73998.9536520332,1.44938973819571
92336,4,113.353052462101,2525404.91276881,2429547.13573545,95857.7770333602,3748836.94049784,2177836.57727273,-1243332.10852081,1392059.01752593,480151.300373955,921483.220175913,520.060223470458,0,0,-1.69857846978812e-12,0,6818.90109784295,13299.9723488101,2112649.68324822,1519203.47188746,769958.341795612,-206149.00990618,0,0,29636.8794713267,454.763387057829,0,113.353052462101,0,0,-0.00963856749915966,-0.0436571086526198,-0.0154016782087107,4.33197051649551,2806714.7866518,921483.220175913,520.060223470458,0,0,-1.69857846978812e-12,0,6818.90109784295,13299.9723488101,1.48444984863345
92981,4,117.13857647029,2609743.0114793,2252485.05994335,357257.951535951,4303864.97323947,1958576.55408393,-1117154.92812672,1398989.85750825,82754.1882998005,1852742.90937782,13443.0809242615,0,0,290.092553225744,68.2726529460606,5462.94828515488,108691.997680786,1958682.6608203,1378730.80588522,797135.034379835,-247302.522874133,0,0,30119.3434293777,368.218671509343,0,117.13857647029,0,0,-0.0127583711435003,-0.11053143350203,-0.0409982594511338,24.8201136017882,2323165.67176527,1852742.90937782,13443.0809242615,0,0,290.092553225744,68.2726529460606,5462.94828515488,108691.997680786,1.64915279179151
93633,4,107.228456116239,2388954.36852133,2180477.5134936,208476.855027732,3708568.90840906,1897383.72227487,-1105479.37549583,1458201.91999896,97161.1890752082,1141395.50286071,139296.331167259,0,0,-3.20594194563086e-11,0,4585.39699204322,76024.2215358442,1896067.40303791,1364036.93558781,730766.950314453,-227575.392292561,0,0,28838.9094282115,360.202020131445,0,107.228456116239,0,0,-0.016757777905213,-0.309157574689517,-0.106386184875582,8.55736978251404,2347267.45585321,1141395.50286071,139296.331167259,0,0,-3.20594194563086e-11,0,4585.39699204322,76024.2215358442,1.55238164331474
93645,4,142.936985277004,3184508.55088881,2928344.35727156,256164.193617252,5176769.70007779,2463439.32866668,-1488449.43897078,1786162.6801692,118736.895048687,566045.306561346,1671315.61920499,0,0,6743.45908741071,1629.11003889683,31523.084279611,19623.655991747,2546386.39762745,1855931.00736993,965002.325241369,-307765.346415991,0,0,33218.4114321358,459.326234560385,0,142.936985277004,0,0,-0.0145889211735589,-0.0856853172121564,-0.0272773742281506,12.1628638389147,2879889.46491379,566045.306561346,1671315.61920499,0,0,6743.45908741071,1629.11003889683,31523.084279611,19623.655991747,1.62561023698081
93646,4,141.706501756935,3157094.47549192,2948488.81291759,208605.662574334,5147352.70745482,2487530.98721303,-1510078.21626008,1695003.25257465,116805.54626015,1054966.63665961,1262247.73221644,0,0,5092.9434527917,1230.37230580465,17401.0428808794,17152.4101515516,2563903.31558051,1874990.7549147,957218.209554761,-301382.943756609,0,0,33077.2948676554,439.373529608542,0,141.706501756935,0,0,-0.0137785630408788,-0.0671407037279974,-0.0213406415478167,6.77238674365377,2789261.56978775,1054966.63665961,1262247.73221644,0,0,5092.9434527917,1230.37230580465,17401.0428808794,17152.4101515516,1.63040819570431
94294,4,114.078838362841,2541574.77533127,2270501.95536761,271072.819963655,4289913.7769052,1943853.48707494,-1192806.67016548,1549682.27513323,181023.53447611,904769.138710867,850565.895654801,0,0,10199.3327991685,2429.22625472522,24292.6485307,15904.9084361399,1974349.52640662,1409490.2391145,775186.836653485,-240057.547168022,0,0,29729.9978066573,372.856668686419,0,114.078838362841,0,0,-0.0149933364149978,-0.182298407056921,-0.0583147490179357,3.76614529742132,2481752.6265188,904769.138710867,850565.895654801,0,0,10199.3327991685,2429.22625472522,24292.6485307,15904.9084361399,1.68789595275475
94297,3,86.6203493606714,2019261.19065623,1918737.99958819,100523.191068035,4021511.6018374,586519.948295812,-430580.739781395,1070305.95928503,427613.617039074,2339280.57410346,0,115.434025676933,46.4749659484729,-1.37432632348003e-10,0,11042.8112574973,17167.5226463034,1668467.82572886,1253631.44109202,563819.947235875,-174954.50275466,0,0,25970.9401556289,224.460120448079,0,86.6203493606714,0,0,-0.0119092007420752,-0.0059308546905118,-0.00230368311550576,3.03847415033746,1653858.78483852,2339280.57410346,0,115.434025676933,46.4749659484729,-1.37432632348003e-10,0,11042.8112574973,17167.5226463034,1.99157574089287
105492,1,64.1426504705285,786766.97703034,772090.645794895,14676.3312354449,1170223.74445671,502197.94640698,-325578.965233149,0,0,958371.793778262,0,0,0,1.64570224658823e-10,0,4290.58037982896,30942.3891247835,671383.170256431,909159.13177067,0,0,113665.120029697,-373860.019885366,22418.9383414295,44.6823602401523,64.1426504705285,0,0,0,-0.00117160298392542,-0.0110355297993066,-0.00737992722609435,58.9682457297864,176618.981173831,958371.793778262,0,0,0,1.64570224658823e-10,0,4290.58037982896,30942.3891247835,1.48738289559855
